,Role,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,LastAliveQuantity,Clutches,FirstKills,FirstDeaths,FlashedEnemies,FlashAssists,BombsPlanted,WalkQuantityAsTR,DistanceTraveledAsTR,AK47Kills,MAC10Kills,M4A4Kills,MP9Kills,AWPKills,ScoutKills
0,,0.16,0.2,0.19,0.19,0.0,0.15,,0.17,0.2,0.1,0.17,0.29,0.21,0.2,0.17,0.33,0.24,0.2,0.0,0
1,,0.23,0.2,0.25,0.25,0.33,0.08,,0.17,0.07,0.2,0.17,0.29,0.2,0.19,0.08,0.33,0.29,0.0,0.33,0
2,,0.21,0.19,0.2,0.2,0.17,0.23,,0.17,0.27,0.3,0.17,0.14,0.2,0.2,0.29,0.0,0.0,0.8,0.33,1
3,,0.14,0.2,0.13,0.13,0.33,0.23,,0.17,0.2,0.2,0.33,0.29,0.22,0.21,0.12,0.0,0.0,0.0,0.33,0
4,,0.26,0.21,0.23,0.23,0.17,0.31,,0.33,0.27,0.2,0.17,0.0,0.17,0.2,0.33,0.33,0.47,0.0,0.0,0
5,,0.18,0.18,0.19,0.19,0.07,0.23,0.4,0.2,0.08,0.22,0.22,0.29,0.23,0.2,0.28,0.0,0.08,0.0,0.25,0
6,,0.1,0.22,0.14,0.14,0.13,0.23,0.2,0.0,0.25,0.11,0.56,0.29,0.19,0.22,0.03,0.0,0.15,0.0,0.0,0
7,,0.25,0.2,0.22,0.22,0.27,0.0,0.0,0.27,0.08,0.0,0.0,0.14,0.21,0.19,0.14,0.0,0.0,0.0,0.67,0
8,,0.27,0.21,0.23,0.23,0.27,0.31,0.4,0.2,0.33,0.33,0.22,0.29,0.2,0.18,0.34,0.0,0.38,0.0,0.0,0
9,,0.2,0.2,0.22,0.22,0.27,0.23,0.0,0.33,0.25,0.33,0.0,0.0,0.16,0.2,0.21,1.0,0.38,0.0,0.08,0
