,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,FlashAssists,BombsPlanted,Clutches,FirstKills,FirstDeaths,FlashedEnemies,WalkQuantityAsTR,DistanceTraveledAsTR,DistanceTraveledAsCT,Glock,USP,MP9,AK47,Famas,Deagle,M4A4,AWP,Mac10,Gallil,M4A1,P250,Incendiary,AUG,P2000,HE,XM1014,MP7,Desconhecido,Knife
0,KSCERATO,0,17,16,0.0,2184,2,4,1,0,3,3,12,51406,128911.72,89879.77,1.0,1.0,1.0,12,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,junior,FURIA,14,17,0.0,1734,1,2,3,0,1,2,22,43423,124614.29,76920.35,0.0,0.0,0.0,3,0.0,0.0,3,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,misutaaa,Team Vitality,19,18,0.0,2083,1,1,0,0,1,1,11,31140,84675.77,139772.31,1.0,3.0,0.0,4,0.0,0.0,7,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Kyojin,Team Vitality,16,21,0.0,2281,0,1,1,0,3,3,4,31138,89344.17,128923.39,1.0,1.0,1.0,6,2.0,0.0,1,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ZywOo,Team Vitality,33,14,0.0,3859,6,1,3,0,5,2,10,29866,82020.49,142147.47,2.0,1.0,4.0,8,3.0,3.0,3,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,shox,Team Vitality,6,18,0.0,1333,0,4,1,0,0,3,13,40155,82251.66,120449.46,0.0,0.0,0.0,3,1.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,yuurih,FURIA,21,17,0.0,2453,3,0,0,0,3,3,12,51087,124874.05,86030.41,1.0,0.0,0.0,14,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,arT,FURIA,19,18,0.0,2574,2,2,1,2,5,3,17,52899,139760.02,90223.77,1.0,0.0,0.0,11,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8,VINI,FURIA,19,16,0.0,2200,2,4,1,1,3,0,8,48071,122231.83,75781.34,0.0,2.0,0.0,11,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,apEX,Team Vitality,11,20,0.0,1589,1,2,1,0,2,6,14,32945,85191.48,141974.9,0.0,1.0,1.0,4,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,apEX,0,19,24,83.0,2906,2,0,1,0,2,6,7,67978,188104.1,180534.19,3.0,0.0,0.0,9,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,shox,0,22,20,78.0,2749,2,0,2,0,3,2,14,72788,183889.08,154912.0,0.0,1.0,0.0,11,0.0,0.0,5,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,misutaaa,Team Vitality,20,28,83.0,2914,2,1,3,0,2,5,12,67355,188931.25,159780.91,0.0,2.0,1.0,6,1.0,1.0,7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,junior,FURIA,18,17,52.0,1835,1,5,7,0,2,2,31,53326,149667.34,157542.39,1.0,3.0,0.0,3,0.0,0.0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,KSCERATO,FURIA,37,18,134.0,4695,4,1,2,0,8,1,9,54533,148560.44,166225.63,0.0,3.0,0.0,25,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,ZywOo,Team Vitality,25,20,79.0,2766,1,1,2,2,4,4,21,63154,178388.02,148332.87,0.0,3.0,0.0,14,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,VINI,0,15,24,65.0,2300,1,1,1,0,4,3,0,51959,150468.09,147195.01,0.0,0.0,0.0,8,0.0,0.0,4,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,arT,FURIA,27,22,92.0,3251,2,2,0,0,7,6,9,59462,160695.47,182155.3,1.0,1.0,0.0,17,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0
18,Kyojin,Team Vitality,13,29,58.0,2045,0,1,3,0,1,7,0,67059,178345.47,148153.02,2.0,0.0,0.0,3,2.0,0.0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,yuurih,FURIA,24,20,87.0,3048,3,2,2,0,3,0,21,57103,150850.28,148205.65,1.0,0.0,0.0,13,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
